Time_Period,Time_Label,CEV_1_SOE_kWh,CEV_1_Max_SOE_kWh,CEV_1_Min_SOE_kWh
1,00:00:00,20.0,22.0,3.6
2,00:15:00,20.0,22.0,3.6
3,00:30:00,20.0,22.0,3.6
4,00:45:00,20.0,22.0,3.6
5,01:00:00,20.0,22.0,3.6
6,01:15:00,20.0,22.0,3.6
7,01:30:00,20.0,22.0,3.6
8,01:45:00,20.0,22.0,3.6
9,02:00:00,20.0,22.0,3.6
10,02:15:00,20.0,22.0,3.6
11,02:30:00,20.0,22.0,3.6
12,02:45:00,20.0,22.0,3.6
13,03:00:00,20.0,22.0,3.6
14,03:15:00,20.0,22.0,3.6
15,03:30:00,20.0,22.0,3.6
16,03:45:00,20.0,22.0,3.6
17,04:00:00,20.0,22.0,3.6
18,04:15:00,20.0,22.0,3.6
19,04:30:00,20.0,22.0,3.6
20,04:45:00,20.0,22.0,3.6
21,05:00:00,20.0,22.0,3.6
22,05:15:00,20.0,22.0,3.6
23,05:30:00,20.0,22.0,3.6
24,05:45:00,20.0,22.0,3.6
25,06:00:00,20.0,22.0,3.6
26,06:15:00,20.0,22.0,3.6
27,06:30:00,20.0,22.0,3.6
28,06:45:00,20.0,22.0,3.6
29,07:00:00,20.0,22.0,3.6
30,07:15:00,20.0,22.0,3.6
31,07:30:00,20.0,22.0,3.6
32,07:45:00,20.0,22.0,3.6
33,08:00:00,20.0,22.0,3.6
34,08:15:00,19.375,22.0,3.6
35,08:30:00,18.75,22.0,3.6
36,08:45:00,18.125,22.0,3.6
37,09:00:00,17.5,22.0,3.6
38,09:15:00,16.875,22.0,3.6
39,09:30:00,16.25,22.0,3.6
40,09:45:00,15.625,22.0,3.6
41,10:00:00,15.0,22.0,3.6
42,10:15:00,14.375,22.0,3.6
43,10:30:00,13.75,22.0,3.6
44,10:45:00,13.125,22.0,3.6
45,11:00:00,12.5,22.0,3.6
46,11:15:00,11.875,22.0,3.6
47,11:30:00,11.25,22.0,3.6
48,11:45:00,10.625,22.0,3.6
49,12:00:00,10.0,22.0,3.6
50,12:15:00,10.0,22.0,3.6
51,12:30:00,14.0,22.0,3.6
52,12:45:00,14.0,22.0,3.6
53,13:00:00,14.0,22.0,3.6
54,13:15:00,14.0,22.0,3.6
55,13:30:00,14.0,22.0,3.6
56,13:45:00,14.0,22.0,3.6
57,14:00:00,14.0,22.0,3.6
58,14:15:00,14.0,22.0,3.6
59,14:30:00,14.0,22.0,3.6
60,14:45:00,14.0,22.0,3.6
61,15:00:00,14.0,22.0,3.6
62,15:15:00,13.375,22.0,3.6
63,15:30:00,12.75,22.0,3.6
64,15:45:00,12.125,22.0,3.6
65,16:00:00,11.5,22.0,3.6
66,16:15:00,10.875,22.0,3.6
67,16:30:00,10.25,22.0,3.6
68,16:45:00,9.625,22.0,3.6
69,17:00:00,9.0,22.0,3.6
70,17:15:00,8.375,22.0,3.6
71,17:30:00,7.75,22.0,3.6
72,17:45:00,7.125,22.0,3.6
73,18:00:00,6.5,22.0,3.6
74,18:15:00,5.875,22.0,3.6
75,18:30:00,5.25,22.0,3.6
76,18:45:00,4.625,22.0,3.6
77,19:00:00,4.0,22.0,3.6
78,19:15:00,15.875,22.0,3.6
79,19:30:00,20.0,22.0,3.6
80,19:45:00,20.0,22.0,3.6
81,20:00:00,20.0,22.0,3.6
82,20:15:00,20.0,22.0,3.6
83,20:30:00,20.0,22.0,3.6
84,20:45:00,20.0,22.0,3.6
85,21:00:00,20.0,22.0,3.6
86,21:15:00,20.0,22.0,3.6
87,21:30:00,20.0,22.0,3.6
88,21:45:00,20.0,22.0,3.6
89,22:00:00,20.0,22.0,3.6
90,22:15:00,20.0,22.0,3.6
91,22:30:00,20.0,22.0,3.6
92,22:45:00,20.0,22.0,3.6
93,23:00:00,20.0,22.0,3.6
94,23:15:00,20.0,22.0,3.6
95,23:30:00,20.0,22.0,3.6
96,23:45:00,20.0,22.0,3.6
