Time_Period,Time_Label,Electricity_Price_USD_per_kWh,CO2_Emission_Factor_kg_CO2_per_kWh
1,00:00:00,0.261,0.3124073824599219
2,00:15:00,0.261,0.27458892971149795
3,00:30:00,0.261,0.2766818721031198
4,00:45:00,0.261,0.27671634740885304
5,01:00:00,0.261,0.2745075714448366
6,01:15:00,0.261,0.2782818186478036
7,01:30:00,0.261,0.2815003641660597
8,01:45:00,0.261,0.281866624459217
9,02:00:00,0.261,0.2805885424336953
10,02:15:00,0.261,0.2810720358424874
11,02:30:00,0.261,0.2840233451334691
12,02:45:00,0.261,0.2829713653340711
13,03:00:00,0.261,0.2841958432138374
14,03:15:00,0.261,0.2882933314673571
15,03:30:00,0.261,0.29093523962607337
16,03:45:00,0.261,0.29218171238806184
17,04:00:00,0.261,0.2906877281021898
18,04:15:00,0.261,0.28033621068446934
19,04:30:00,0.261,0.2799568904393204
20,04:45:00,0.261,0.27951653944020355
21,05:00:00,0.261,0.28202718435707175
22,05:15:00,0.261,0.2778436018957346
23,05:30:00,0.261,0.28089488636363635
24,05:45:00,0.261,0.2832057144403257
25,06:00:00,0.387,0.2840376843401226
26,06:15:00,0.387,0.2755965621174829
27,06:30:00,0.387,0.271416987104031
28,06:45:00,0.387,0.2646634334083137
29,07:00:00,0.387,0.25588554871423397
30,07:15:00,0.387,0.23216985725634912
31,07:30:00,0.387,0.21704899534537808
32,07:45:00,0.387,0.2000768
33,08:00:00,0.387,0.18484477124183007
34,08:15:00,0.387,0.18748345956572696
35,08:30:00,0.387,0.18722100325338578
36,08:45:00,0.387,0.17439004212750253
37,09:00:00,0.387,0.1696463741597733
38,09:15:00,0.387,0.17937994940956645
39,09:30:00,0.387,0.17330814591683047
40,09:45:00,0.387,0.1690054443677632
41,10:00:00,0.261,0.16671777573341512
42,10:15:00,0.261,0.17120344752846378
43,10:30:00,0.261,0.16974024155880518
44,10:45:00,0.261,0.15720579459898684
45,11:00:00,0.261,0.15612737699969817
46,11:15:00,0.261,0.1588749858808469
47,11:30:00,0.261,0.15524642586071746
48,11:45:00,0.261,0.147787556157302
49,12:00:00,0.261,0.14285366210223674
50,12:15:00,0.261,0.15014878095603765
51,12:30:00,0.261,0.14216613841714368
52,12:45:00,0.261,0.13429206371368402
53,13:00:00,0.261,0.1265335055966523
54,13:15:00,0.261,0.13699637845178814
55,13:30:00,0.261,0.13042559109874827
56,13:45:00,0.261,0.12422947718600176
57,14:00:00,0.387,0.12062269264420307
58,14:15:00,0.387,0.1261938672922252
59,14:30:00,0.387,0.1266950155987768
60,14:45:00,0.387,0.12372936159893297
61,15:00:00,0.387,0.12549794889536897
62,15:15:00,0.387,0.13244001246494236
63,15:30:00,0.387,0.1287452870710638
64,15:45:00,0.387,0.1275275799796016
65,16:00:00,0.627,0.130457634464126
66,16:15:00,0.627,0.12954801586938
67,16:30:00,0.627,0.13226120506256084
68,16:45:00,0.627,0.13497340425531915
69,17:00:00,0.627,0.14154539002742417
70,17:15:00,0.627,0.160302750535649
71,17:30:00,0.627,0.16609275153757855
72,17:45:00,0.627,0.16290289815817985
73,18:00:00,0.627,0.16465343203230148
74,18:15:00,0.627,0.1615007742492321
75,18:30:00,0.627,0.16070126015544434
76,18:45:00,0.627,0.16631650909575973
77,19:00:00,0.627,0.17095497485587097
78,19:15:00,0.627,0.1828771905921624
79,19:30:00,0.627,0.19148260107863008
80,19:45:00,0.627,0.20251508008042712
81,20:00:00,0.387,0.21007559753478708
82,20:15:00,0.387,0.2052445656926009
83,20:30:00,0.387,0.20593597252190762
84,20:45:00,0.387,0.20851363142618015
85,21:00:00,0.387,0.2180809381839799
86,21:15:00,0.387,0.21907319013524262
87,21:30:00,0.387,0.22366911690480779
88,21:45:00,0.387,0.23733899979496353
89,22:00:00,0.387,0.24652625976543935
90,22:15:00,0.387,0.266755136239914
91,22:30:00,0.387,0.28131683168316834
92,22:45:00,0.387,0.28805800858786357
93,23:00:00,0.387,0.29357608144074726
94,23:15:00,0.387,0.28751588310038123
95,23:30:00,0.387,0.2926639086833157
96,23:45:00,0.387,0.30442974144141144
