Time_Period,Time_Label,MCS_1_SOE_kWh,MCS_1_Max_SOE_kWh,MCS_1_Min_SOE_kWh,MCS_2_SOE_kWh,MCS_2_Max_SOE_kWh,MCS_2_Min_SOE_kWh
1,00:00:00,250.0,275.0,11.25,250.0,275.0,11.25
2,00:15:00,250.0,275.0,11.25,250.0,275.0,11.25
3,00:30:00,250.0,275.0,11.25,250.0,275.0,11.25
4,00:45:00,250.0,275.0,11.25,250.0,275.0,11.25
5,01:00:00,250.0,275.0,11.25,250.0,275.0,11.25
6,01:15:00,250.0,275.0,11.25,250.0,275.0,11.25
7,01:30:00,250.0,275.0,11.25,250.0,275.0,11.25
8,01:45:00,250.0,275.0,11.25,250.0,275.0,11.25
9,02:00:00,250.0,275.0,11.25,250.0,275.0,11.25
10,02:15:00,250.0,275.0,11.25,250.0,275.0,11.25
11,02:30:00,250.0,275.0,11.25,250.0,275.0,11.25
12,02:45:00,250.0,275.0,11.25,250.0,275.0,11.25
13,03:00:00,250.0,275.0,11.25,250.0,275.0,11.25
14,03:15:00,250.0,275.0,11.25,250.0,275.0,11.25
15,03:30:00,250.0,275.0,11.25,250.0,275.0,11.25
16,03:45:00,250.0,275.0,11.25,250.0,275.0,11.25
17,04:00:00,250.0,275.0,11.25,250.0,275.0,11.25
18,04:15:00,250.0,275.0,11.25,250.0,275.0,11.25
19,04:30:00,250.0,275.0,11.25,250.0,275.0,11.25
20,04:45:00,250.0,275.0,11.25,250.0,275.0,11.25
21,05:00:00,250.0,275.0,11.25,250.0,275.0,11.25
22,05:15:00,250.0,275.0,11.25,250.0,275.0,11.25
23,05:30:00,250.0,275.0,11.25,250.0,275.0,11.25
24,05:45:00,250.0,275.0,11.25,250.0,275.0,11.25
25,06:00:00,250.0,275.0,11.25,250.0,275.0,11.25
26,06:15:00,250.0,275.0,11.25,250.0,275.0,11.25
27,06:30:00,250.0,275.0,11.25,250.0,275.0,11.25
28,06:45:00,250.0,275.0,11.25,250.0,275.0,11.25
29,07:00:00,250.0,275.0,11.25,250.0,275.0,11.25
30,07:15:00,250.0,275.0,11.25,250.0,275.0,11.25
31,07:30:00,250.0,275.0,11.25,250.0,275.0,11.25
32,07:45:00,250.0,275.0,11.25,250.0,275.0,11.25
33,08:00:00,250.0,275.0,11.25,250.0,275.0,11.25
34,08:15:00,250.0,275.0,11.25,250.0,275.0,11.25
35,08:30:00,250.0,275.0,11.25,250.0,275.0,11.25
36,08:45:00,250.0,275.0,11.25,250.0,275.0,11.25
37,09:00:00,250.0,275.0,11.25,250.0,275.0,11.25
38,09:15:00,250.0,275.0,11.25,250.0,275.0,11.25
39,09:30:00,250.0,275.0,11.25,250.0,275.0,11.25
40,09:45:00,250.0,275.0,11.25,250.0,275.0,11.25
41,10:00:00,250.0,275.0,11.25,250.0,275.0,11.25
42,10:15:00,250.0,275.0,11.25,250.0,275.0,11.25
43,10:30:00,250.0,275.0,11.25,250.0,275.0,11.25
44,10:45:00,250.0,275.0,11.25,250.0,275.0,11.25
45,11:00:00,250.0,275.0,11.25,250.0,275.0,11.25
46,11:15:00,250.0,275.0,11.25,250.0,275.0,11.25
47,11:30:00,239.47368421052633,275.0,11.25,239.47368421052633,275.0,11.25
48,11:45:00,229.50138504155126,275.0,11.25,228.94736842105266,275.0,11.25
49,12:00:00,227.8393351800554,275.0,11.25,228.94736842105266,275.0,11.25
50,12:15:00,227.8393351800554,275.0,11.25,228.94736842105266,275.0,11.25
51,12:30:00,227.8393351800554,275.0,11.25,228.94736842105266,275.0,11.25
52,12:45:00,227.8393351800554,275.0,11.25,228.94736842105266,275.0,11.25
53,13:00:00,227.8393351800554,275.0,11.25,228.94736842105266,275.0,11.25
54,13:15:00,227.8393351800554,275.0,11.25,228.94736842105266,275.0,11.25
55,13:30:00,227.8393351800554,275.0,11.25,228.94736842105266,275.0,11.25
56,13:45:00,227.8393351800554,275.0,11.25,228.94736842105266,275.0,11.25
57,14:00:00,250.0,275.0,11.25,250.0,275.0,11.25
58,14:15:00,250.0,275.0,11.25,250.0,275.0,11.25
59,14:30:00,250.0,275.0,11.25,250.0,275.0,11.25
60,14:45:00,250.0,275.0,11.25,250.0,275.0,11.25
61,15:00:00,250.0,275.0,11.25,250.0,275.0,11.25
62,15:15:00,250.0,275.0,11.25,250.0,275.0,11.25
63,15:30:00,250.0,275.0,11.25,250.0,275.0,11.25
64,15:45:00,250.0,275.0,11.25,250.0,275.0,11.25
65,16:00:00,250.0,275.0,11.25,250.0,275.0,11.25
66,16:15:00,250.0,275.0,11.25,250.0,275.0,11.25
67,16:30:00,250.0,275.0,11.25,250.0,275.0,11.25
68,16:45:00,250.0,275.0,11.25,250.0,275.0,11.25
69,17:00:00,250.0,275.0,11.25,250.0,275.0,11.25
70,17:15:00,233.37950138504155,275.0,11.25,228.94736842105263,275.0,11.25
71,17:30:00,212.32686980609418,275.0,11.25,218.42105263157893,275.0,11.25
72,17:45:00,195.15235457063704,275.0,11.25,200.6925207756233,275.0,11.25
73,18:00:00,195.15235457063704,275.0,11.25,200.6925207756233,275.0,11.25
74,18:15:00,195.15235457063704,275.0,11.25,200.6925207756233,275.0,11.25
75,18:30:00,195.15235457063704,275.0,11.25,200.6925207756233,275.0,11.25
76,18:45:00,195.15235457063704,275.0,11.25,199.58448753462608,275.0,11.25
77,19:00:00,195.15235457063704,275.0,11.25,199.58448753462608,275.0,11.25
78,19:15:00,195.15235457063704,275.0,11.25,199.58448753462608,275.0,11.25
79,19:30:00,195.15235457063704,275.0,11.25,199.58448753462608,275.0,11.25
80,19:45:00,195.15235457063704,275.0,11.25,199.58448753462608,275.0,11.25
81,20:00:00,195.15235457063704,275.0,11.25,199.58448753462605,275.0,11.25
82,20:15:00,195.15235457063704,275.0,11.25,199.58448753462605,275.0,11.25
83,20:30:00,200.125,275.0,11.25,200.12500000000003,275.0,11.25
84,20:45:00,225.0625,275.0,11.25,225.06250000000003,275.0,11.25
85,21:00:00,250.0,275.0,11.25,250.0,275.0,11.25
86,21:15:00,250.0,275.0,11.25,250.0,275.0,11.25
87,21:30:00,250.0,275.0,11.25,250.0,275.0,11.25
88,21:45:00,250.0,275.0,11.25,250.0,275.0,11.25
89,22:00:00,250.0,275.0,11.25,250.0,275.0,11.25
90,22:15:00,250.0,275.0,11.25,250.0,275.0,11.25
91,22:30:00,250.0,275.0,11.25,250.0,275.0,11.25
92,22:45:00,250.0,275.0,11.25,250.0,275.0,11.25
93,23:00:00,250.0,275.0,11.25,250.0,275.0,11.25
94,23:15:00,250.0,275.0,11.25,250.0,275.0,11.25
95,23:30:00,250.0,275.0,11.25,250.0,275.0,11.25
96,23:45:00,250.0,275.0,11.25,250.0,275.0,11.25
