Time_Period,Time_Label,CEV_1_SOE_kWh,CEV_1_Max_SOE_kWh,CEV_1_Min_SOE_kWh,CEV_2_SOE_kWh,CEV_2_Max_SOE_kWh,CEV_2_Min_SOE_kWh,CEV_3_SOE_kWh,CEV_3_Max_SOE_kWh,CEV_3_Min_SOE_kWh,CEV_4_SOE_kWh,CEV_4_Max_SOE_kWh,CEV_4_Min_SOE_kWh
1,00:00:00,19.8,19.8,3.96,25.0,25.0,5.0,40.0,40.0,8.0,45.0,45.0,9.0
2,00:15:00,19.8,19.8,3.96,25.0,25.0,5.0,40.0,40.0,8.0,45.0,45.0,9.0
3,00:30:00,19.8,19.8,3.96,25.0,25.0,5.0,40.0,40.0,8.0,45.0,45.0,9.0
4,00:45:00,19.8,19.8,3.96,25.0,25.0,5.0,40.0,40.0,8.0,45.0,45.0,9.0
5,01:00:00,19.8,19.8,3.96,25.0,25.0,5.0,40.0,40.0,8.0,45.0,45.0,9.0
6,01:15:00,19.8,19.8,3.96,25.0,25.0,5.0,40.0,40.0,8.0,45.0,45.0,9.0
7,01:30:00,19.8,19.8,3.96,25.0,25.0,5.0,40.0,40.0,8.0,45.0,45.0,9.0
8,01:45:00,19.8,19.8,3.96,25.0,25.0,5.0,40.0,40.0,8.0,45.0,45.0,9.0
9,02:00:00,19.8,19.8,3.96,25.0,25.0,5.0,40.0,40.0,8.0,45.0,45.0,9.0
10,02:15:00,19.8,19.8,3.96,25.0,25.0,5.0,40.0,40.0,8.0,45.0,45.0,9.0
11,02:30:00,19.8,19.8,3.96,25.0,25.0,5.0,40.0,40.0,8.0,45.0,45.0,9.0
12,02:45:00,19.8,19.8,3.96,25.0,25.0,5.0,40.0,40.0,8.0,45.0,45.0,9.0
13,03:00:00,19.8,19.8,3.96,25.0,25.0,5.0,40.0,40.0,8.0,45.0,45.0,9.0
14,03:15:00,19.8,19.8,3.96,25.0,25.0,5.0,40.0,40.0,8.0,45.0,45.0,9.0
15,03:30:00,19.8,19.8,3.96,25.0,25.0,5.0,40.0,40.0,8.0,45.0,45.0,9.0
16,03:45:00,19.8,19.8,3.96,25.0,25.0,5.0,40.0,40.0,8.0,45.0,45.0,9.0
17,04:00:00,19.8,19.8,3.96,25.0,25.0,5.0,40.0,40.0,8.0,45.0,45.0,9.0
18,04:15:00,19.8,19.8,3.96,25.0,25.0,5.0,40.0,40.0,8.0,45.0,45.0,9.0
19,04:30:00,19.8,19.8,3.96,25.0,25.0,5.0,40.0,40.0,8.0,45.0,45.0,9.0
20,04:45:00,19.8,19.8,3.96,25.0,25.0,5.0,40.0,40.0,8.0,45.0,45.0,9.0
21,05:00:00,19.8,19.8,3.96,25.0,25.0,5.0,40.0,40.0,8.0,45.0,45.0,9.0
22,05:15:00,19.8,19.8,3.96,25.0,25.0,5.0,40.0,40.0,8.0,45.0,45.0,9.0
23,05:30:00,19.8,19.8,3.96,25.0,25.0,5.0,40.0,40.0,8.0,45.0,45.0,9.0
24,05:45:00,19.8,19.8,3.96,25.0,25.0,5.0,40.0,40.0,8.0,45.0,45.0,9.0
25,06:00:00,19.8,19.8,3.96,25.0,25.0,5.0,40.0,40.0,8.0,45.0,45.0,9.0
26,06:15:00,19.8,19.8,3.96,25.0,25.0,5.0,40.0,40.0,8.0,45.0,45.0,9.0
27,06:30:00,19.8,19.8,3.96,25.0,25.0,5.0,40.0,40.0,8.0,45.0,45.0,9.0
28,06:45:00,19.8,19.8,3.96,25.0,25.0,5.0,40.0,40.0,8.0,45.0,45.0,9.0
29,07:00:00,19.8,19.8,3.96,25.0,25.0,5.0,40.0,40.0,8.0,45.0,45.0,9.0
30,07:15:00,19.8,19.8,3.96,25.0,25.0,5.0,40.0,40.0,8.0,45.0,45.0,9.0
