Time_Period,Time_Label,MCS_1_Location,MCS_1_Location_Type,MCS_2_Location,MCS_2_Location_Type
1,00:00:00,3,Construction,3,Construction
2,00:15:00,3,Construction,3,Construction
3,00:30:00,3,Construction,3,Construction
4,00:45:00,3,Construction,3,Construction
5,01:00:00,3,Construction,3,Construction
6,01:15:00,3,Construction,3,Construction
7,01:30:00,3,Construction,3,Construction
8,01:45:00,3,Construction,3,Construction
9,02:00:00,3,Construction,3,Construction
10,02:15:00,3,Construction,3,Construction
11,02:30:00,3,Construction,3,Construction
12,02:45:00,3,Construction,3,Construction
13,03:00:00,3,Construction,3,Construction
14,03:15:00,3,Construction,3,Construction
15,03:30:00,3,Construction,3,Construction
16,03:45:00,3,Construction,3,Construction
17,04:00:00,3,Construction,3,Construction
18,04:15:00,3,Construction,3,Construction
19,04:30:00,3,Construction,3,Construction
20,04:45:00,3,Construction,3,Construction
21,05:00:00,3,Construction,3,Construction
22,05:15:00,3,Construction,3,Construction
23,05:30:00,3,Construction,3,Construction
24,05:45:00,3,Construction,3,Construction
25,06:00:00,3,Construction,3,Construction
26,06:15:00,3,Construction,3,Construction
27,06:30:00,3,Construction,3,Construction
28,06:45:00,3,Construction,3,Construction
29,07:00:00,3,Construction,3,Construction
30,07:15:00,3,Construction,3,Construction
31,07:30:00,3,Construction,3,Construction
32,07:45:00,3,Construction,3,Construction
33,08:00:00,3,Construction,3,Construction
34,08:15:00,3,Construction,3,Construction
35,08:30:00,3,Construction,3,Construction
36,08:45:00,3,Construction,3,Construction
37,09:00:00,3,Construction,3,Construction
38,09:15:00,3,Construction,3,Construction
39,09:30:00,3,Construction,3,Construction
40,09:45:00,3,Construction,3,Construction
41,10:00:00,3,Construction,3,Construction
42,10:15:00,3,Construction,3,Construction
43,10:30:00,3,Construction,3,Construction
44,10:45:00,3,Construction,3,Construction
45,11:00:00,3,Construction,2,Construction
46,11:15:00,3,Construction,2,Construction
47,11:30:00,3,Construction,2,Construction
48,11:45:00,2,Construction,3,Construction
49,12:00:00,1,Grid,1,Grid
50,12:15:00,1,Grid,1,Grid
51,12:30:00,1,Grid,1,Grid
52,12:45:00,1,Grid,1,Grid
53,13:00:00,1,Grid,1,Grid
54,13:15:00,1,Grid,1,Grid
55,13:30:00,1,Grid,1,Grid
56,13:45:00,1,Grid,1,Grid
57,14:00:00,1,Grid,1,Grid
58,14:15:00,1,Grid,1,Grid
59,14:30:00,1,Grid,1,Grid
60,14:45:00,1,Grid,1,Grid
61,15:00:00,1,Grid,1,Grid
62,15:15:00,1,Grid,1,Grid
63,15:30:00,1,Grid,1,Grid
64,15:45:00,1,Grid,1,Grid
65,16:00:00,1,Grid,1,Grid
66,16:15:00,1,Grid,1,Grid
67,16:30:00,1,Grid,1,Grid
68,16:45:00,1,Grid,1,Grid
69,17:00:00,3,Construction,2,Construction
70,17:15:00,3,Construction,1,Grid
71,17:30:00,1,Grid,1,Grid
72,17:45:00,1,Grid,3,Construction
73,18:00:00,1,Grid,3,Construction
74,18:15:00,1,Grid,3,Construction
75,18:30:00,3,Construction,1,Grid
76,18:45:00,3,Construction,1,Grid
77,19:00:00,1,Grid,2,Construction
78,19:15:00,2,Construction,1,Grid
79,19:30:00,1,Grid,3,Construction
80,19:45:00,1,Grid,2,Construction
81,20:00:00,1,Grid,2,Construction
82,20:15:00,2,Construction,1,Grid
83,20:30:00,1,Grid,2,Construction
84,20:45:00,1,Grid,2,Construction
85,21:00:00,1,Grid,1,Grid
86,21:15:00,1,Grid,1,Grid
87,21:30:00,3,Construction,1,Grid
88,21:45:00,2,Construction,1,Grid
89,22:00:00,1,Grid,1,Grid
90,22:15:00,1,Grid,3,Construction
91,22:30:00,1,Grid,1,Grid
92,22:45:00,1,Grid,1,Grid
93,23:00:00,1,Grid,1,Grid
94,23:15:00,2,Construction,1,Grid
95,23:30:00,1,Grid,1,Grid
96,23:45:00,3,Construction,3,Construction
