Time_Period,Time_Label,Electricity_Price_USD_per_kWh,CO2_Emission_Factor_kg_CO2_per_kWh
1,00:00:00,0.261,0.28
2,00:15:00,0.261,0.28
3,00:30:00,0.261,0.28
4,00:45:00,0.261,0.28
5,01:00:00,0.261,0.28
6,01:15:00,0.261,0.28
7,01:30:00,0.261,0.28
8,01:45:00,0.261,0.28
9,02:00:00,0.261,0.28
10,02:15:00,0.261,0.28
11,02:30:00,0.261,0.28
12,02:45:00,0.261,0.28
13,03:00:00,0.261,0.28
14,03:15:00,0.261,0.28
15,03:30:00,0.261,0.28
16,03:45:00,0.261,0.28
17,04:00:00,0.261,0.28
18,04:15:00,0.261,0.28
19,04:30:00,0.261,0.28
20,04:45:00,0.261,0.28
21,05:00:00,0.261,0.28
22,05:15:00,0.261,0.28
23,05:30:00,0.261,0.28
24,05:45:00,0.261,0.28
25,06:00:00,0.387,0.18
26,06:15:00,0.387,0.18
27,06:30:00,0.387,0.18
28,06:45:00,0.387,0.18
29,07:00:00,0.387,0.18
30,07:15:00,0.387,0.18
31,07:30:00,0.387,0.18
32,07:45:00,0.387,0.18
33,08:00:00,0.387,0.18
34,08:15:00,0.387,0.18
35,08:30:00,0.387,0.18
36,08:45:00,0.387,0.18
37,09:00:00,0.387,0.18
38,09:15:00,0.387,0.18
39,09:30:00,0.387,0.18
40,09:45:00,0.387,0.18
41,10:00:00,0.261,0.15
42,10:15:00,0.261,0.15
43,10:30:00,0.261,0.15
44,10:45:00,0.261,0.15
45,11:00:00,0.261,0.15
46,11:15:00,0.261,0.15
47,11:30:00,0.261,0.15
48,11:45:00,0.261,0.15
49,12:00:00,0.261,0.15
50,12:15:00,0.261,0.15
51,12:30:00,0.261,0.15
52,12:45:00,0.261,0.15
53,13:00:00,0.261,0.15
54,13:15:00,0.261,0.15
55,13:30:00,0.261,0.15
56,13:45:00,0.261,0.15
57,14:00:00,0.387,0.12
58,14:15:00,0.387,0.12
59,14:30:00,0.387,0.12
60,14:45:00,0.387,0.12
61,15:00:00,0.387,0.12
62,15:15:00,0.387,0.12
63,15:30:00,0.387,0.12
64,15:45:00,0.387,0.12
65,16:00:00,0.627,0.16
66,16:15:00,0.627,0.16
67,16:30:00,0.627,0.16
68,16:45:00,0.627,0.16
69,17:00:00,0.627,0.16
70,17:15:00,0.627,0.16
71,17:30:00,0.627,0.16
72,17:45:00,0.627,0.16
73,18:00:00,0.627,0.16
74,18:15:00,0.627,0.16
75,18:30:00,0.627,0.16
76,18:45:00,0.627,0.16
77,19:00:00,0.627,0.16
78,19:15:00,0.627,0.16
79,19:30:00,0.627,0.16
80,19:45:00,0.627,0.16
81,20:00:00,0.387,0.25
82,20:15:00,0.387,0.25
83,20:30:00,0.387,0.25
84,20:45:00,0.387,0.25
85,21:00:00,0.387,0.25
86,21:15:00,0.387,0.25
87,21:30:00,0.387,0.25
88,21:45:00,0.387,0.25
89,22:00:00,0.387,0.25
90,22:15:00,0.387,0.25
91,22:30:00,0.387,0.25
92,22:45:00,0.387,0.25
93,23:00:00,0.387,0.25
94,23:15:00,0.387,0.25
95,23:30:00,0.387,0.25
96,23:45:00,0.387,0.25
