Unnamed: 0,Unnamed: 1,lambda_buy,lambda_CO2
00:00:00,t1,0.261,0.28
00:30:00,t2,0.261,0.28
01:00:00,t3,0.261,0.28
01:30:00,t4,0.261,0.28
02:00:00,t5,0.261,0.28
02:30:00,t6,0.261,0.28
03:00:00,t7,0.261,0.28
03:30:00,t8,0.261,0.28
04:00:00,t9,0.261,0.28
04:30:00,t10,0.261,0.28
05:00:00,t11,0.261,0.28
05:30:00,t12,0.261,0.28
06:00:00,t13,0.387,0.18
06:30:00,t14,0.387,0.18
07:00:00,t15,0.387,0.18
07:30:00,t16,0.387,0.18
08:00:00,t17,0.387,0.18
08:30:00,t18,0.387,0.18
09:00:00,t19,0.387,0.18
09:30:00,t20,0.387,0.18
10:00:00,t21,0.261,0.15
10:30:00,t22,0.261,0.15
11:00:00,t23,0.261,0.15
11:30:00,t24,0.261,0.15
12:00:00,t25,0.261,0.15
12:30:00,t26,0.261,0.15
13:00:00,t27,0.261,0.15
13:30:00,t28,0.261,0.15
14:00:00,t29,0.387,0.12
14:30:00,t30,0.387,0.12
15:00:00,t31,0.387,0.12
15:30:00,t32,0.387,0.12
16:00:00,t33,0.627,0.16
16:30:00,t34,0.627,0.16
17:00:00,t35,0.627,0.16
17:30:00,t36,0.627,0.16
18:00:00,t37,0.627,0.16
18:30:00,t38,0.627,0.16
19:00:00,t39,0.627,0.16
19:30:00,t40,0.627,0.16
20:00:00,t41,0.387,0.25
20:30:00,t42,0.387,0.25
21:00:00,t43,0.387,0.25
21:30:00,t44,0.387,0.25
22:00:00,t45,0.387,0.25
22:30:00,t46,0.387,0.25
23:00:00,t47,0.387,0.25
23:30:00,t48,0.387,0.25
