Time_Period,Time_Label,CEV_1_SOE_kWh,CEV_1_Max_SOE_kWh,CEV_1_Min_SOE_kWh
1,00:00:00,80.0,100,20
2,00:15:00,80.0,100,20
3,00:30:00,80.0,100,20
4,00:45:00,80.0,100,20
5,01:00:00,80.0,100,20
6,01:15:00,80.0,100,20
7,01:30:00,80.0,100,20
8,01:45:00,80.0,100,20
9,02:00:00,80.0,100,20
10,02:15:00,80.0,100,20
11,02:30:00,80.0,100,20
12,02:45:00,80.0,100,20
13,03:00:00,80.0,100,20
14,03:15:00,80.0,100,20
15,03:30:00,80.0,100,20
16,03:45:00,80.0,100,20
17,04:00:00,80.0,100,20
18,04:15:00,80.0,100,20
19,04:30:00,80.0,100,20
20,04:45:00,80.0,100,20
21,05:00:00,80.0,100,20
22,05:15:00,80.0,100,20
23,05:30:00,80.0,100,20
24,05:45:00,80.0,100,20
25,06:00:00,80.0,100,20
26,06:15:00,80.0,100,20
27,06:30:00,80.0,100,20
28,06:45:00,80.0,100,20
29,07:00:00,80.0,100,20
30,07:15:00,80.0,100,20
31,07:30:00,82.5,100,20
32,07:45:00,95.0,100,20
33,08:00:00,82.5,100,20
34,08:15:00,70.0,100,20
35,08:30:00,57.5,100,20
36,08:45:00,45.0,100,20
37,09:00:00,57.5,100,20
38,09:15:00,45.0,100,20
39,09:30:00,57.5,100,20
40,09:45:00,45.0,100,20
41,10:00:00,32.5,100,20
42,10:15:00,45.0,100,20
43,10:30:00,32.5,100,20
44,10:45:00,20.0,100,20
45,11:00:00,20.0,100,20
46,11:15:00,20.0000000000001,100,20
47,11:30:00,32.5000000000001,100,20
48,11:45:00,45.0000000000001,100,20
49,12:00:00,57.5000000000001,100,20
50,12:15:00,70.0000000000001,100,20
51,12:30:00,82.5000000000001,100,20
52,12:45:00,95.0000000000001,100,20
53,13:00:00,82.5000000000001,100,20
54,13:15:00,95.0000000000001,100,20
55,13:30:00,82.5000000000001,100,20
56,13:45:00,70.0000000000001,100,20
57,14:00:00,82.49999999999673,100,20
58,14:15:00,69.99999999999673,100,20
59,14:30:00,82.49999999999673,100,20
60,14:45:00,69.99999999999673,100,20
61,15:00:00,82.49999999999673,100,20
62,15:15:00,69.99999999999673,100,20
63,15:30:00,57.50000000000694,100,20
64,15:45:00,70.00000000000693,100,20
65,16:00:00,57.500000000006935,100,20
66,16:15:00,45.0,100,20
67,16:30:00,32.5,100,20
68,16:45:00,20.0,100,20
69,17:00:00,20.0,100,20
70,17:15:00,20.0,100,20
71,17:30:00,20.0,100,20
72,17:45:00,20.0,100,20
73,18:00:00,20.0,100,20
74,18:15:00,20.0,100,20
75,18:30:00,20.0,100,20
76,18:45:00,20.0,100,20
77,19:00:00,20.0,100,20
78,19:15:00,20.0,100,20
79,19:30:00,20.0,100,20
80,19:45:00,20.0,100,20
81,20:00:00,20.0,100,20
82,20:15:00,20.0,100,20
83,20:30:00,20.0,100,20
84,20:45:00,20.0,100,20
85,21:00:00,20.0,100,20
86,21:15:00,20.0,100,20
87,21:30:00,20.0,100,20
88,21:45:00,20.0,100,20
89,22:00:00,20.0,100,20
90,22:15:00,20.0,100,20
91,22:30:00,30.0,100,20
92,22:45:00,42.5,100,20
93,23:00:00,55.0,100,20
94,23:15:00,67.5,100,20
95,23:30:00,80.0,100,20
96,23:45:00,80.0,100,20
