Time_Period,Time_Label,Charging_Power_kW,Discharging_Power_kW,Net_Power_kW
1,00:00:00,0.0,0.0,0.0
2,00:30:00,0.0,0.0,0.0
3,01:00:00,0.0,0.0,0.0
4,01:30:00,0.0,0.0,0.0
5,02:00:00,0.0,0.0,0.0
6,02:30:00,0.0,0.0,0.0
7,03:00:00,0.0,0.0,0.0
8,03:30:00,0.0,0.0,0.0
9,04:00:00,0.0,0.0,0.0
10,04:30:00,0.0,0.0,0.0
11,05:00:00,0.0,0.0,0.0
12,05:30:00,0.0,0.0,0.0
13,06:00:00,0.0,0.0,0.0
14,06:30:00,0.0,0.0,0.0
15,07:00:00,0.0,33.68421052631579,-33.68421052631579
16,07:30:00,0.0,0.0,0.0
17,08:00:00,0.0,0.0,0.0
18,08:30:00,0.0,0.0,0.0
19,09:00:00,0.0,0.0,0.0
20,09:30:00,0.0,0.0,0.0
21,10:00:00,0.0,0.0,0.0
22,10:30:00,0.0,0.0,0.0
23,11:00:00,0.0,0.0,0.0
24,11:30:00,37.323224959906696,0.0,37.323224959906696
25,12:00:00,0.0,0.0,0.0
26,12:30:00,-0.0,0.0,-0.0
27,13:00:00,0.0,0.0,0.0
28,13:30:00,0.0,0.0,0.0
29,14:00:00,0.0,0.0,0.0
30,14:30:00,0.0,0.0,0.0
31,15:00:00,0.0,0.0,0.0
32,15:30:00,0.0,0.0,0.0
33,16:00:00,0.0,0.0,0.0
34,16:30:00,0.0,0.0,0.0
35,17:00:00,0.0,0.0,0.0
36,17:30:00,0.0,0.0,0.0
37,18:00:00,0.0,0.0,0.0
38,18:30:00,0.0,0.0,0.0
39,19:00:00,0.0,0.0,0.0
40,19:30:00,0.0,0.0,0.0
41,20:00:00,0.0,0.0,0.0
42,20:30:00,0.0,0.0,0.0
43,21:00:00,0.0,0.0,0.0
44,21:30:00,0.0,0.0,0.0
45,22:00:00,0.0,0.0,0.0
46,22:30:00,0.0,0.0,0.0
47,23:00:00,0.0,0.0,0.0
48,23:30:00,0.0,0.0,0.0
