Time_Period,Time_Label,CEV_1_SOE_kWh,CEV_1_Max_SOE_kWh,CEV_1_Min_SOE_kWh
1,00:00:00,80.0,110.0,18.0
2,00:30:00,80.0,110.0,18.0
3,01:00:00,80.0,110.0,18.0
4,01:30:00,80.0,110.0,18.0
5,02:00:00,80.0,110.0,18.0
6,02:30:00,80.0,110.0,18.0
7,03:00:00,80.0,110.0,18.0
8,03:30:00,80.0,110.0,18.0
9,04:00:00,80.0,110.0,18.0
10,04:30:00,80.0,110.0,18.0
11,05:00:00,80.0,110.0,18.0
12,05:30:00,80.0,110.0,18.0
13,06:00:00,80.0,110.0,18.0
14,06:30:00,78.75,110.0,18.0
15,07:00:00,77.5,110.0,18.0
16,07:30:00,76.25,110.0,18.0
17,08:00:00,75.0,110.0,18.0
18,08:30:00,73.75,110.0,18.0
19,09:00:00,72.5,110.0,18.0
20,09:30:00,71.25,110.0,18.0
21,10:00:00,70.0,110.0,18.0
22,10:30:00,93.75,110.0,18.0
23,11:00:00,92.5,110.0,18.0
24,11:30:00,91.25,110.0,18.0
25,12:00:00,90.0,110.0,18.0
26,12:30:00,88.75,110.0,18.0
27,13:00:00,87.5,110.0,18.0
28,13:30:00,86.25,110.0,18.0
29,14:00:00,85.0,110.0,18.0
30,14:30:00,83.75,110.0,18.0
31,15:00:00,90.0,110.0,18.0
32,15:30:00,88.75,110.0,18.0
33,16:00:00,87.5,110.0,18.0
34,16:30:00,86.25,110.0,18.0
35,17:00:00,85.0,110.0,18.0
36,17:30:00,83.75,110.0,18.0
37,18:00:00,82.5,110.0,18.0
38,18:30:00,81.25,110.0,18.0
39,19:00:00,80.0,110.0,18.0
40,19:30:00,80.0,110.0,18.0
41,20:00:00,80.0,110.0,18.0
42,20:30:00,80.0,110.0,18.0
43,21:00:00,80.0,110.0,18.0
44,21:30:00,80.0,110.0,18.0
45,22:00:00,80.0,110.0,18.0
46,22:30:00,80.0,110.0,18.0
47,23:00:00,80.0,110.0,18.0
48,23:30:00,80.0,110.0,18.0
