Time_Period,Time_Label,MCS_1_Location,MCS_1_Location_Type
1,00:00:00,1,Grid
2,00:30:00,1,Grid
3,01:00:00,1,Grid
4,01:30:00,1,Grid
5,02:00:00,1,Grid
6,02:30:00,1,Grid
7,03:00:00,1,Grid
8,03:30:00,1,Grid
9,04:00:00,1,Grid
10,04:30:00,1,Grid
11,05:00:00,1,Grid
12,05:30:00,1,Grid
13,06:00:00,1,Grid
14,06:30:00,1,Grid
15,07:00:00,1,Grid
16,07:30:00,1,Grid
17,08:00:00,1,Grid
18,08:30:00,1,Grid
19,09:00:00,1,Grid
20,09:30:00,1,Grid
21,10:00:00,2,Construction
22,10:30:00,1,Grid
23,11:00:00,1,Grid
24,11:30:00,1,Grid
25,12:00:00,1,Grid
26,12:30:00,1,Grid
27,13:00:00,1,Grid
28,13:30:00,1,Grid
29,14:00:00,1,Grid
30,14:30:00,2,Construction
31,15:00:00,1,Grid
32,15:30:00,1,Grid
33,16:00:00,1,Grid
34,16:30:00,1,Grid
35,17:00:00,1,Grid
36,17:30:00,1,Grid
37,18:00:00,1,Grid
38,18:30:00,1,Grid
39,19:00:00,2,Construction
40,19:30:00,2,Construction
41,20:00:00,2,Construction
42,20:30:00,2,Construction
43,21:00:00,1,Grid
44,21:30:00,1,Grid
45,22:00:00,1,Grid
46,22:30:00,1,Grid
47,23:00:00,1,Grid
48,23:30:00,1,Grid
