Time_Period,Time_Label,Electricity_Price_USD_per_kWh,CO2_Emission_Factor_kg_CO2_per_kWh
1,00:00:00,0.1,0.05
2,00:30:00,0.1,0.05
3,01:00:00,0.1,0.05
4,01:30:00,0.1,0.05
5,02:00:00,0.1,0.05
6,02:30:00,0.1,0.05
7,03:00:00,0.1,0.05
8,03:30:00,0.1,0.05
9,04:00:00,0.1,0.05
10,04:30:00,0.1,0.05
11,05:00:00,0.1,0.05
12,05:30:00,0.1,0.05
13,06:00:00,0.15,0.08
14,06:30:00,0.15,0.08
15,07:00:00,0.15,0.08
16,07:30:00,0.15,0.08
17,08:00:00,0.15,0.08
18,08:30:00,0.15,0.08
19,09:00:00,0.15,0.08
20,09:30:00,0.15,0.08
21,10:00:00,0.12,0.06
22,10:30:00,0.12,0.06
23,11:00:00,0.12,0.06
24,11:30:00,0.12,0.06
25,12:00:00,0.12,0.06
26,12:30:00,0.12,0.06
27,13:00:00,0.12,0.06
28,13:30:00,0.12,0.06
29,14:00:00,0.18,0.09
30,14:30:00,0.18,0.09
31,15:00:00,0.18,0.09
32,15:30:00,0.18,0.09
33,16:00:00,0.25,0.12
34,16:30:00,0.25,0.12
35,17:00:00,0.25,0.12
36,17:30:00,0.25,0.12
37,18:00:00,0.25,0.12
38,18:30:00,0.25,0.12
39,19:00:00,0.25,0.12
40,19:30:00,0.25,0.12
41,20:00:00,0.15,0.07
42,20:30:00,0.15,0.07
43,21:00:00,0.15,0.07
44,21:30:00,0.15,0.07
45,22:00:00,0.15,0.07
46,22:30:00,0.15,0.07
47,23:00:00,0.15,0.07
48,23:30:00,0.15,0.07
