Unnamed: 0,Unnamed: 1,lambda_buy,lambda_CO2
00:00:00,t1,0.261,0.28
00:15:00,t2,0.261,0.28
00:30:00,t3,0.261,0.28
00:45:00,t4,0.261,0.28
01:00:00,t5,0.261,0.28
01:15:00,t6,0.261,0.28
01:30:00,t7,0.261,0.28
01:45:00,t8,0.261,0.28
02:00:00,t9,0.261,0.28
02:15:00,t10,0.261,0.28
02:30:00,t11,0.261,0.28
02:45:00,t12,0.261,0.28
03:00:00,t13,0.261,0.28
03:15:00,t14,0.261,0.28
03:30:00,t15,0.261,0.28
03:45:00,t16,0.261,0.28
04:00:00,t17,0.261,0.28
04:15:00,t18,0.261,0.28
04:30:00,t19,0.261,0.28
04:45:00,t20,0.261,0.28
05:00:00,t21,0.261,0.28
05:15:00,t22,0.261,0.28
05:30:00,t23,0.261,0.28
05:45:00,t24,0.261,0.28
06:00:00,t25,0.387,0.18
06:15:00,t26,0.387,0.18
06:30:00,t27,0.387,0.18
06:45:00,t28,0.387,0.18
07:00:00,t29,0.387,0.18
07:15:00,t30,0.387,0.18
07:30:00,t31,0.387,0.18
07:45:00,t32,0.387,0.18
08:00:00,t33,0.387,0.18
08:15:00,t34,0.387,0.18
08:30:00,t35,0.387,0.18
08:45:00,t36,0.387,0.18
09:00:00,t37,0.387,0.18
09:15:00,t38,0.387,0.18
09:30:00,t39,0.387,0.18
09:45:00,t40,0.387,0.18
10:00:00,t41,0.261,0.15
10:15:00,t42,0.261,0.15
10:30:00,t43,0.261,0.15
10:45:00,t44,0.261,0.15
11:00:00,t45,0.261,0.15
11:15:00,t46,0.261,0.15
11:30:00,t47,0.261,0.15
11:45:00,t48,0.261,0.15
12:00:00,t49,0.261,0.15
12:15:00,t50,0.261,0.15
12:30:00,t51,0.261,0.15
12:45:00,t52,0.261,0.15
13:00:00,t53,0.261,0.15
13:15:00,t54,0.261,0.15
13:30:00,t55,0.261,0.15
13:45:00,t56,0.261,0.15
14:00:00,t57,0.387,0.12
14:15:00,t58,0.387,0.12
14:30:00,t59,0.387,0.12
14:45:00,t60,0.387,0.12
15:00:00,t61,0.387,0.12
15:15:00,t62,0.387,0.12
15:30:00,t63,0.387,0.12
15:45:00,t64,0.387,0.12
16:00:00,t65,0.627,0.16
16:15:00,t66,0.627,0.16
16:30:00,t67,0.627,0.16
16:45:00,t68,0.627,0.16
17:00:00,t69,0.627,0.16
17:15:00,t70,0.627,0.16
17:30:00,t71,0.627,0.16
17:45:00,t72,0.627,0.16
18:00:00,t73,0.627,0.16
18:15:00,t74,0.627,0.16
18:30:00,t75,0.627,0.16
18:45:00,t76,0.627,0.16
19:00:00,t77,0.627,0.16
19:15:00,t78,0.627,0.16
19:30:00,t79,0.627,0.16
19:45:00,t80,0.627,0.16
20:00:00,t81,0.387,0.25
20:15:00,t82,0.387,0.25
20:30:00,t83,0.387,0.25
20:45:00,t84,0.387,0.25
21:00:00,t85,0.387,0.25
21:15:00,t86,0.387,0.25
21:30:00,t87,0.387,0.25
21:45:00,t88,0.387,0.25
22:00:00,t89,0.387,0.25
22:15:00,t90,0.387,0.25
22:30:00,t91,0.387,0.25
22:45:00,t92,0.387,0.25
23:00:00,t93,0.387,0.25
23:15:00,t94,0.387,0.25
23:30:00,t95,0.387,0.25
23:45:00,t96,0.387,0.25
