Time_Period,Time_Label,Electricity_Price_USD_per_kWh,CO2_Emission_Factor_kg_CO2_per_kWh
1,00:00:00,0.261,0.28
2,00:30:00,0.261,0.28
3,01:00:00,0.261,0.28
4,01:30:00,0.261,0.28
5,02:00:00,0.261,0.28
6,02:30:00,0.261,0.28
7,03:00:00,0.261,0.28
8,03:30:00,0.261,0.28
9,04:00:00,0.261,0.28
10,04:30:00,0.261,0.28
11,05:00:00,0.261,0.28
12,05:30:00,0.261,0.28
13,06:00:00,0.387,0.18
14,06:30:00,0.387,0.18
15,07:00:00,0.387,0.18
16,07:30:00,0.387,0.18
17,08:00:00,0.387,0.18
18,08:30:00,0.387,0.18
19,09:00:00,0.387,0.18
20,09:30:00,0.387,0.18
21,10:00:00,0.261,0.15
22,10:30:00,0.261,0.15
23,11:00:00,0.261,0.15
24,11:30:00,0.261,0.15
25,12:00:00,0.261,0.15
26,12:30:00,0.261,0.15
27,13:00:00,0.261,0.15
28,13:30:00,0.261,0.15
29,14:00:00,0.387,0.12
30,14:30:00,0.387,0.12
31,15:00:00,0.387,0.12
32,15:30:00,0.387,0.12
33,16:00:00,0.627,0.16
34,16:30:00,0.627,0.16
35,17:00:00,0.627,0.16
36,17:30:00,0.627,0.16
37,18:00:00,0.627,0.16
38,18:30:00,0.627,0.16
39,19:00:00,0.627,0.16
40,19:30:00,0.627,0.16
41,20:00:00,0.387,0.25
42,20:30:00,0.387,0.25
43,21:00:00,0.387,0.25
44,21:30:00,0.387,0.25
45,22:00:00,0.387,0.25
46,22:30:00,0.387,0.25
47,23:00:00,0.387,0.25
48,23:30:00,0.387,0.25
