Parameter,Value,Unit,Description
eta_ch_dch,0.95,dimensionless,Charging/Discharging Efficiency
MCS_max,500,kWh,MCS Maximum Capacity
MCS_min,100,kWh,MCS Minimum Capacity
MCS_ini,200,kWh,MCS Initial Capacity
CH_MCS,50,kW,MCS Charging Rate
DCH_MCS,50,kW,MCS Discharging Rate
DCH_MCS_plug,50,kW,MCS Discharging Rate with Plug
C_MCS_plug,4,units,MCS Plug Capacity
k_trv,1,dimensionless,Travel Factor
delta_T,0.25,hours,Time Interval
rho_miss,0.6,dimensionless,Missed Work Penalty
num_mcs,1,-,Number of MCSs
