Unnamed: 0,Unnamed: 1,lambda_buy,lambda_CO2
00:00:00,t1,0.1,0.05
00:30:00,t2,0.1,0.05
01:00:00,t3,0.1,0.05
01:30:00,t4,0.1,0.05
02:00:00,t5,0.1,0.05
02:30:00,t6,0.1,0.05
03:00:00,t7,0.1,0.05
03:30:00,t8,0.1,0.05
04:00:00,t9,0.1,0.05
04:30:00,t10,0.1,0.05
05:00:00,t11,0.1,0.05
05:30:00,t12,0.1,0.05
06:00:00,t13,0.15,0.08
06:30:00,t14,0.15,0.08
07:00:00,t15,0.15,0.08
07:30:00,t16,0.15,0.08
08:00:00,t17,0.15,0.08
08:30:00,t18,0.15,0.08
09:00:00,t19,0.15,0.08
09:30:00,t20,0.15,0.08
10:00:00,t21,0.12,0.06
10:30:00,t22,0.12,0.06
11:00:00,t23,0.12,0.06
11:30:00,t24,0.12,0.06
12:00:00,t25,0.12,0.06
12:30:00,t26,0.12,0.06
13:00:00,t27,0.12,0.06
13:30:00,t28,0.12,0.06
14:00:00,t29,0.18,0.09
14:30:00,t30,0.18,0.09
15:00:00,t31,0.18,0.09
15:30:00,t32,0.18,0.09
16:00:00,t33,0.25,0.12
16:30:00,t34,0.25,0.12
17:00:00,t35,0.25,0.12
17:30:00,t36,0.25,0.12
18:00:00,t37,0.25,0.12
18:30:00,t38,0.25,0.12
19:00:00,t39,0.25,0.12
19:30:00,t40,0.25,0.12
20:00:00,t41,0.15,0.07
20:30:00,t42,0.15,0.07
21:00:00,t43,0.15,0.07
21:30:00,t44,0.15,0.07
22:00:00,t45,0.15,0.07
22:30:00,t46,0.15,0.07
23:00:00,t47,0.15,0.07
23:30:00,t48,0.15,0.07
