Time_Period,Time_Label,Grid_Energy_kWh,Energy_Cost_USD,CO2_Emissions_kg,Cumulative_Energy_Cost_USD,Cumulative_CO2_Emissions_kg,Missed_Work_kWh
1,00:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2,00:15:00,4.665626189403506e-13,4.665626189403506e-14,2.332813094701753e-14,4.665626189403506e-14,2.332813094701753e-14,0.0
3,00:30:00,0.0,0.0,0.0,4.665626189403506e-14,2.332813094701753e-14,0.0
4,00:45:00,6.225761772853337,0.6225761772853338,0.3112880886426669,0.6225761772853804,0.3112880886426902,0.0
5,01:00:00,12.500000000000666,1.2500000000000666,0.6250000000000333,1.872576177285447,0.9362880886427235,0.0
6,01:15:00,-3.3395508580725037e-13,-3.339550858072504e-14,-1.669775429036252e-14,1.8725761772854137,0.9362880886427069,0.0
7,01:30:00,-5.77315972805081e-14,-5.773159728050811e-15,-2.8865798640254054e-15,1.872576177285408,0.936288088642704,0.0
8,01:45:00,0.0,0.0,0.0,1.872576177285408,0.936288088642704,0.0
9,02:00:00,-9.748339394151318e-13,-9.748339394151318e-14,-4.874169697075659e-14,1.8725761772853105,0.9362880886426552,0.0
10,02:15:00,0.0,0.0,0.0,1.8725761772853105,0.9362880886426552,0.0
11,02:30:00,0.0,0.0,0.0,1.8725761772853105,0.9362880886426552,0.0
12,02:45:00,-9.059419880941277e-14,-9.059419880941278e-15,-4.529709940470639e-15,1.8725761772853013,0.9362880886426507,0.0
13,03:00:00,3.998796072790497e-13,3.9987960727904976e-14,1.9993980363952488e-14,1.8725761772853413,0.9362880886426707,0.0
14,03:15:00,0.0,0.0,0.0,1.8725761772853413,0.9362880886426707,0.0
15,03:30:00,-7.042734208369467e-13,-7.042734208369468e-14,-3.521367104184734e-14,1.872576177285271,0.9362880886426355,0.0
16,03:45:00,-2.2132817448336064e-13,-2.2132817448336064e-14,-1.1066408724168032e-14,1.8725761772852487,0.9362880886426244,0.0
17,04:00:00,-4.0207591375728834e-12,-4.020759137572884e-13,-2.010379568786442e-13,1.8725761772848466,0.9362880886424233,0.0
18,04:15:00,0.0,0.0,0.0,1.8725761772848466,0.9362880886424233,0.0
19,04:30:00,1.887925255490314e-12,1.8879252554903143e-13,9.439626277451571e-14,1.8725761772850353,0.9362880886425177,0.0
20,04:45:00,0.0,0.0,0.0,1.8725761772850353,0.9362880886425177,0.0
21,05:00:00,0.0,0.0,0.0,1.8725761772850353,0.9362880886425177,0.0
22,05:15:00,7.924580956987176e-13,7.924580956987176e-14,3.962290478493588e-14,1.8725761772851146,0.9362880886425573,0.0
23,05:30:00,1.026534491667403e-12,1.026534491667403e-13,5.132672458337015e-14,1.8725761772852172,0.9362880886426086,0.0
24,05:45:00,1.026534491667403e-12,1.026534491667403e-13,5.132672458337015e-14,1.8725761772853198,0.9362880886426599,0.0
25,06:00:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
26,06:15:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
27,06:30:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
28,06:45:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
29,07:00:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
30,07:15:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
31,07:30:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
32,07:45:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
33,08:00:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
34,08:15:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
35,08:30:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
36,08:45:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
37,09:00:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
38,09:15:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
39,09:30:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
40,09:45:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
41,10:00:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
42,10:15:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
43,10:30:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
44,10:45:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
45,11:00:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
46,11:15:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
47,11:30:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
48,11:45:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
49,12:00:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
50,12:15:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
51,12:30:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
52,12:45:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
53,13:00:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
54,13:15:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
55,13:30:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
56,13:45:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
57,14:00:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
58,14:15:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
59,14:30:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
60,14:45:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
61,15:00:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
62,15:15:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
63,15:30:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
64,15:45:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
65,16:00:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
66,16:15:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
67,16:30:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
68,16:45:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
69,17:00:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
70,17:15:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
71,17:30:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
72,17:45:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
73,18:00:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
74,18:15:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
75,18:30:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
76,18:45:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
77,19:00:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
78,19:15:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
79,19:30:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
80,19:45:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
81,20:00:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
82,20:15:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
83,20:30:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
84,20:45:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
85,21:00:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
86,21:15:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
87,21:30:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
88,21:45:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
89,22:00:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
90,22:15:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
91,22:30:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
92,22:45:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
93,23:00:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
94,23:15:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
95,23:30:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
96,23:45:00,0.0,0.0,0.0,1.8725761772853198,0.9362880886426599,0.0
