Time_Period,Time_Label,CEV_1_SOE_kWh,CEV_1_Max_SOE_kWh,CEV_1_Min_SOE_kWh,CEV_2_SOE_kWh,CEV_2_Max_SOE_kWh,CEV_2_Min_SOE_kWh,CEV_3_SOE_kWh,CEV_3_Max_SOE_kWh,CEV_3_Min_SOE_kWh,CEV_4_SOE_kWh,CEV_4_Max_SOE_kWh,CEV_4_Min_SOE_kWh,CEV_5_SOE_kWh,CEV_5_Max_SOE_kWh,CEV_5_Min_SOE_kWh,CEV_6_SOE_kWh,CEV_6_Max_SOE_kWh,CEV_6_Min_SOE_kWh,CEV_7_SOE_kWh,CEV_7_Max_SOE_kWh,CEV_7_Min_SOE_kWh,CEV_8_SOE_kWh,CEV_8_Max_SOE_kWh,CEV_8_Min_SOE_kWh,CEV_9_SOE_kWh,CEV_9_Max_SOE_kWh,CEV_9_Min_SOE_kWh,CEV_10_SOE_kWh,CEV_10_Max_SOE_kWh,CEV_10_Min_SOE_kWh,CEV_11_SOE_kWh,CEV_11_Max_SOE_kWh,CEV_11_Min_SOE_kWh,CEV_12_SOE_kWh,CEV_12_Max_SOE_kWh,CEV_12_Min_SOE_kWh,CEV_13_SOE_kWh,CEV_13_Max_SOE_kWh,CEV_13_Min_SOE_kWh,CEV_14_SOE_kWh,CEV_14_Max_SOE_kWh,CEV_14_Min_SOE_kWh,CEV_15_SOE_kWh,CEV_15_Max_SOE_kWh,CEV_15_Min_SOE_kWh,CEV_16_SOE_kWh,CEV_16_Max_SOE_kWh,CEV_16_Min_SOE_kWh,CEV_17_SOE_kWh,CEV_17_Max_SOE_kWh,CEV_17_Min_SOE_kWh,CEV_18_SOE_kWh,CEV_18_Max_SOE_kWh,CEV_18_Min_SOE_kWh,CEV_19_SOE_kWh,CEV_19_Max_SOE_kWh,CEV_19_Min_SOE_kWh,CEV_20_SOE_kWh,CEV_20_Max_SOE_kWh,CEV_20_Min_SOE_kWh
1,00:00:00,80.0,110.0,18.0,80.0,110.0,18.0,80.0,110.0,18.0,80.0,110.0,18.0,80.0,110.0,18.0,80.0,110.0,18.0,80.0,110.0,18.0,80.0,110.0,18.0,80.0,110.0,18.0,80.0,110.0,18.0,80.0,110.0,18.0,80.0,110.0,18.0,80.0,110.0,18.0,80.0,110.0,18.0,80.0,110.0,18.0,80.0,110.0,18.0,80.0,110.0,18.0,80.0,110.0,18.0,80.0,110.0,18.0,80.0,110.0,18.0
2,00:15:00,80.0,110.0,18.0,80.00000000000001,110.0,18.0,90.00000000000048,110.0,18.0,80.0,110.0,18.0,89.99999999999989,110.0,18.0,89.99999999999707,110.0,18.0,89.9999999999997,110.0,18.0,80.0,110.0,18.0,79.99999999999996,110.0,18.0,80.00000000000018,110.0,18.0,91.8749999999979,110.0,18.0,79.99999999999986,110.0,18.0,80.00000000000028,110.0,18.0,80.0,110.0,18.0,90.0,110.0,18.0,80.00000000000007,110.0,18.0,90.00000000000016,110.0,18.0,80.39999999995983,110.0,18.0,79.9999999999672,110.0,18.0,79.99999999999825,110.0,18.0
3,00:30:00,80.00000000000003,110.0,18.0,90.00000000000001,110.0,18.0,90.00000000000041,110.0,18.0,80.00000000000207,110.0,18.0,89.99999999999989,110.0,18.0,89.99999999999707,110.0,18.0,90.00000000000115,110.0,18.0,79.9999999999959,110.0,18.0,89.99999999999959,110.0,18.0,79.99999999999794,110.0,18.0,91.87499999999997,110.0,18.0,99.99999999999696,110.0,18.0,90.00000000000044,110.0,18.0,80.00000000000284,110.0,18.0,90.0,110.0,18.0,90.0,110.0,18.0,90.00000000000016,110.0,18.0,89.99999999999976,110.0,18.0,79.9999999999672,110.0,18.0,89.99999999999804,110.0,18.0
4,00:45:00,84.74375000001628,110.0,18.0,90.0,110.0,18.0,90.0,110.0,18.0,90.00000000000006,110.0,18.0,89.99999999999989,110.0,18.0,89.99999999999707,110.0,18.0,90.0,110.0,18.0,89.99999999999999,110.0,18.0,89.9999999999996,110.0,18.0,90.00000000001292,110.0,18.0,97.5,110.0,18.0,99.99999999999696,110.0,18.0,90.00000000000033,110.0,18.0,90.00000000000284,110.0,18.0,90.0,110.0,18.0,90.0,110.0,18.0,90.00000000000016,110.0,18.0,90.0,110.0,18.0,90.0,110.0,18.0,89.99999999999994,110.0,18.0
5,01:00:00,87.57187499999176,110.0,18.0,90.0,110.0,18.0,90.0,110.0,18.0,90.00000000000006,110.0,18.0,89.99999999999989,110.0,18.0,89.99999999999707,110.0,18.0,90.0,110.0,18.0,89.99999999999999,110.0,18.0,89.99999999999969,110.0,18.0,90.00000000001292,110.0,18.0,97.5,110.0,18.0,99.99999999999696,110.0,18.0,90.0000000000001,110.0,18.0,90.00000000000284,110.0,18.0,90.0,110.0,18.0,90.0,110.0,18.0,90.00000000000034,110.0,18.0,90.0,110.0,18.0,90.0,110.0,18.0,90.0,110.0,18.0
6,01:15:00,89.99999999998415,110.0,18.0,90.0,110.0,18.0,90.0,110.0,18.0,90.00000000000006,110.0,18.0,89.99999999999989,110.0,18.0,89.99999999999707,110.0,18.0,90.0,110.0,18.0,89.99999999999999,110.0,18.0,89.99999999999969,110.0,18.0,90.00000000001292,110.0,18.0,97.5,110.0,18.0,100.0,110.0,18.0,90.00000000000007,110.0,18.0,90.00000000000284,110.0,18.0,90.0,110.0,18.0,90.0,110.0,18.0,90.0000000000002,110.0,18.0,90.0,110.0,18.0,90.0,110.0,18.0,90.0,110.0,18.0
7,01:30:00,89.99999999998415,110.0,18.0,90.0,110.0,18.0,90.0,110.0,18.0,90.00000000000006,110.0,18.0,89.99999999999989,110.0,18.0,89.99999999999707,110.0,18.0,90.0,110.0,18.0,89.99999999999999,110.0,18.0,89.99999999999969,110.0,18.0,90.00000000001292,110.0,18.0,97.5,110.0,18.0,100.0,110.0,18.0,90.00000000000013,110.0,18.0,90.00000000000284,110.0,18.0,90.0,110.0,18.0,90.0,110.0,18.0,90.0000000000002,110.0,18.0,90.0,110.0,18.0,90.0,110.0,18.0,90.0,110.0,18.0
8,01:45:00,89.99999999998417,110.0,18.0,90.0,110.0,18.0,90.0,110.0,18.0,90.00000000000006,110.0,18.0,89.99999999999989,110.0,18.0,89.99999999999707,110.0,18.0,90.0,110.0,18.0,89.99999999999999,110.0,18.0,89.99999999999977,110.0,18.0,90.00000000001292,110.0,18.0,97.5,110.0,18.0,100.0,110.0,18.0,90.00000000000013,110.0,18.0,90.00000000000284,110.0,18.0,90.0,110.0,18.0,90.0,110.0,18.0,90.0000000000002,110.0,18.0,90.0,110.0,18.0,90.0,110.0,18.0,90.0,110.0,18.0
9,02:00:00,89.99999999998417,110.0,18.0,90.0,110.0,18.0,90.0,110.0,18.0,90.00000000000006,110.0,18.0,89.99999999999989,110.0,18.0,89.99999999999707,110.0,18.0,90.0,110.0,18.0,89.99999999999999,110.0,18.0,89.99999999999991,110.0,18.0,90.00000000001292,110.0,18.0,97.5,110.0,18.0,100.0,110.0,18.0,90.00000000000013,110.0,18.0,90.00000000000284,110.0,18.0,90.0,110.0,18.0,90.0,110.0,18.0,90.0000000000002,110.0,18.0,90.0,110.0,18.0,90.0,110.0,18.0,90.0,110.0,18.0
10,02:15:00,89.99999999998417,110.0,18.0,90.0,110.0,18.0,90.0,110.0,18.0,90.00000000000006,110.0,18.0,89.99999999999989,110.0,18.0,89.99999999999707,110.0,18.0,90.0,110.0,18.0,89.99999999999999,110.0,18.0,89.99999999999991,110.0,18.0,90.00000000001292,110.0,18.0,97.5,110.0,18.0,100.0,110.0,18.0,90.00000000000013,110.0,18.0,90.00000000000284,110.0,18.0,90.0,110.0,18.0,90.0,110.0,18.0,90.0000000000002,110.0,18.0,90.0,110.0,18.0,90.0,110.0,18.0,90.0,110.0,18.0
